Tweet,Sentiment
Amazing customer service from @Microsoft. They resolved my issue in minutes! #excellent,Positive
The package for my new software arrived today from @Samsung.,Neutral
This is a stupid app. It is completely useless and slow. 🤮 #neveragain,Negative
I hate the new software update for my movie! It keeps crashing and freezing. 🤦 #frustrated,Negative
My package got delayed again! @Sony has the worst delivery service. 👎 #fail,Negative
I hate this watch! It is so bad and frustrating. 👎 #poorquality,Negative
Watching a documentary about Seattle on @Microsoft Netflix tonight.,Neutral
I have been using this food for six months. It is decent for the price.,Neutral
This is a very good hotel. I enjoy using it and feel happy. 🎉,Positive
The camera quality on this new service is extremely terrible. Total disappointment. #annoyed,Negative
Watching a documentary about Tokyo on @Samsung Netflix tonight.,Neutral
Just received my order and it is in excellent condition. Fast delivery too! #excellent,Positive
I love my new movie! The performance is absolutely wonderful. 🎉 #recommend,Positive
The flight was on time and the crew was very outstanding. Great experience with @Netflix! 🎉,Positive
I tried contacting customer support but they just ignored my request. Stupid service! 😠,Negative
The concert tonight was incredible! The energy was out of this world. 🔥 #amazing,Positive
I hate the new software update for my laptop! It keeps crashing and freezing. 🤦 #neveragain,Negative
The concert tonight was incredible! The energy was out of this world. 🙌 #success,Positive
Terrible customer support from @Apple. They were extremely rude and unhelpful. 🤦 #worstservice,Negative
Had a buggy stay at the hotel in New York. The room was dirty and noisy. 😠 #worstservice,Negative
"The restaurant in Sydney was not bad, but it wasn't great either. Just average. #reading",Neutral
Terrible customer support from @Steam. They were extremely rude and unhelpful. 👎 #buggy,Negative
The cinematography in the new movie is absolutely brilliant. A must-watch! 🎉,Positive
I hate the new software update for my app! It keeps crashing and freezing. 🤦 #buggy,Negative
This is a stupid app. It is completely useless and slow. 😡 #terrible,Negative
I have been using this keyboard for six months. It is decent for the price.,Neutral
"Here is my honest review of the new camera. It is average, has both pros and cons.",Neutral
"Here is my honest review of the new app. It is average, has both pros and cons.",Neutral
This movie has fantastic battery life. Can easily go two days without charging. #loveit,Positive
Just received my order and it is in wonderful condition. Fast delivery too! #happy,Positive
My package got delayed again! @Dell has the worst delivery service. 🤦 #worstservice,Negative
Terrible customer support from @Samsung. They were extremely rude and unhelpful. 💔 #buggy,Negative
Absolutely great update! The interface is so smooth now. Well done! 😍 #excellent,Positive
"The bus was a bit delayed today, but that's normal for London traffic. #review",Neutral
"The bus was a bit delayed today, but that's normal for Tokyo traffic. #reading",Neutral
This headphones is the worst! The battery life is totally poor. 🤮 #buggy,Negative
Looking for recommendations for a standard customer support under a reasonable budget.,Neutral
The package for my new hotel arrived today from @Microsoft.,Neutral
The flight was on time and the crew was very brilliant. Great experience with @Apple! 💖,Positive
Watching a documentary about London on @Netflix Netflix tonight.,Neutral
I hate the new software update for my service! It keeps crashing and freezing. 💩 #buggy,Negative
I have a very good feeling about this. Highly recommended! 😊 #excellent,Positive
Comparing the specifications of the new laptop with the older model.,Neutral
This is a stupid app. It is completely useless and slow. 💔 #neveragain,Negative
